OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence ,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
d4bd2a326f97e5865679b4dc064694b1, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Prasino-Clade-9:plas, Prasino-Clade-9_X:plas, Prasino-Clade-9_XX:plas, Prasino-Clade-9_XXX:plas, Prasino-Clade-9_XXX_sp.:plas,d4bd2a326f97e5865679b4dc064694b1,87.7,87.7,79.7,79.7,79.7,79.7,79.7,79.7
d50ad8fab193dd048d7c5c5a3e33fd81, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, Chaetoceros:plas, unclassified_Chaetoceros:plas,d50ad8fab193dd048d7c5c5a3e33fd81,98.8,98.8,98.8,98.8,98.8,87.9,76.9,76.9
d53e3e9fafd98db1f0fea09fa9f7246c, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Pelagophyceae:plas, Sarcinochrysidales:plas, Sarcinochrysidaceae:plas, Ankylochrysis:plas, unclassified_Ankylochrysis:plas,d53e3e9fafd98db1f0fea09fa9f7246c,83.7,83.7,83.7,83.7,74.4,74.4,68.7,68.7
d53fb30bcfb6dc2c06dc76921e7c8003, Eukaryota, Stramenopiles, unclassified_Stramenopiles,,,,,,d53fb30bcfb6dc2c06dc76921e7c8003,67.6,61.9,61.9,,,,,
d5c1483d48b6c462c3f172eabe06c323, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Chrysophyceae:plas, Chrysophyceae_X:plas, unclassified_Chrysophyceae_X:plas,,,d5c1483d48b6c462c3f172eabe06c323,76.5,74.5,74.5,64.1,64.1,64.1,,
d669a4367eb3332cce80723221ad9dec, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Peridiniales, unclassified_Peridiniales,,,d669a4367eb3332cce80723221ad9dec,88.7,88.7,88.7,88.7,88,88,,
d68b9c862960160eb513d15c338385df, Eukaryota, Alveolata, Dinoflagellata, Syndiniales, Dino-Group-I, Dino-Group-I-Clade-5, Dino-Group-I-Clade-5_X, Dino-Group-I-Clade-5_X_sp.,d68b9c862960160eb513d15c338385df,67.1,65.4,65.4,63.7,63.1,63.1,63.1,63.1
d6adbfa4116f743ece941dcd28106768, Eukaryota, Hacrobia, Katablepharidophyta, Katablepharidaceae, Katablepharidales, Katablepharidales_X, Katablepharidales_XX, Katablepharidales_XX_sp.,d6adbfa4116f743ece941dcd28106768,93,93,93,93,93,93,87.9,87.9
d6b89e6789c4524937a91bfa9cd2f64b, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, unclassified_Ochrophyta:plas,,,,,d6b89e6789c4524937a91bfa9cd2f64b,79,71.4,71.4,71.4,,,,
d6c1a903ffdadb77f28c4a9690cafbb3, Eukaryota:plas, unclassified_Eukaryota:plas,,,,,,,d6c1a903ffdadb77f28c4a9690cafbb3,63.4,63.4,,,,,,
d6fab9510d69e74b1d874af326ccc049, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,d6fab9510d69e74b1d874af326ccc049,75.6,75.6,75.6,75.6,75.6,,,
d6ff6075e788276724a47d4e9433e5b5, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,d6ff6075e788276724a47d4e9433e5b5,91.8,90.9,90.9,90.9,90.9,90.9,,
d70a2578a9b6acd359dc89e24e6893b0, Eukaryota:plas, unclassified_Eukaryota:plas,,,,,,,d70a2578a9b6acd359dc89e24e6893b0,64.1,64.1,,,,,,
d70b45626044e2c55e53c0a1417f5800, Eukaryota, Stramenopiles, Ochrophyta, Raphidophyceae, Raphidophyceae_X, Raphidophyceae_XX, unclassified_Raphidophyceae_XX,,d70b45626044e2c55e53c0a1417f5800,84.2,83.3,82.6,82.6,82.6,82.6,82.6,
d73f7b64e64e38532e3d841879160bb7, Eukaryota:plas, unclassified_Eukaryota:plas,,,,,,,d73f7b64e64e38532e3d841879160bb7,61.8,61.8,,,,,,
d7676849144b7e62e70d06262fecca34, Eukaryota:plas, Archaeplastida:plas, unclassified_Archaeplastida:plas,,,,,,d7676849144b7e62e70d06262fecca34,64,60.8,60.8,,,,,
d79ce9ed5e752197c185b0c933cb8621, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, unclassified_Ochrophyta:plas,,,,,d79ce9ed5e752197c185b0c933cb8621,80.4,60.4,60.4,60.4,,,,
d82f12030efbf2646e483d9975e07a2b, Eukaryota, Archaeplastida, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Micromonas, Micromonas_clade_B5,d82f12030efbf2646e483d9975e07a2b,96.3,96.3,96.3,96.3,96.3,96.3,91.6,79.8
d850fb42f0ade85c6607cf9ab1223c13, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Isochrysidales:plas, Noelaerhabdaceae:plas, unclassified_Noelaerhabdaceae:plas,,d850fb42f0ade85c6607cf9ab1223c13,100,100,100,100,89.9,87.4,87.4,
d85aa2221aec82df250a1c5103f1cc29, Eukaryota, Stramenopiles, Ochrophyta, Bacillariophyta, Bacillariophyta_X, Raphid-pennate, Pseudo-nitzschia, unclassified_Pseudo-nitzschia,d85aa2221aec82df250a1c5103f1cc29,99.9,99.9,99.9,99.9,99.9,98.9,96.4,96.4
