bins	HOT_224_25M	HOT_225_25M	HOT_226_25M	HOT_227_25M	HOT_229_25M	HOT_231_25M	HOT_232_25M	HOT_233_25M	HOT_234_25M	HOT_236_25M	HOT_237_25M	HOT_238_25M	KFe386HP	KFe387AR	KFe389R8	KFe393NT	KFe395NB	KFe416ST	KMa156HP	KMa157AR	KMa158CB	KMa159R8	KMa160SB	KMa161R2	KMa162ST	KMa163NT	KMa164NR	KMa165NB	KOc290HP	KOc291AR	KOc293R8	KOc297NT	KOc299NB	KOc321ST	KSe054HP	KSe055AR	KSe056CB	KSe057R8	KSe058SB	KSe059R2	KSe060ST	KSe061NT	KSe062NR	KSe063NB
AS9601	226.46452761614668	112.76727585213825	75.06090064853149	81.57878062588458	202.59785858962752	177.61277615411504	250.0503943185931	193.31395424232215	190.9180538045939	124.53780167356835	167.3472964649333	145.85442819771856	6.586931242389547e-05	0.0	0.2584445378138913	19.87644117416364	0.889794657000133	25.506845286056514	0.3073703359615551	0.8777149706632253	0.34859347257531054	0.3365203401512329	0.05120547777425215	4.248552319184052	20.005194391456957	26.43387479409536	5.4274713503707375	1.2473999224534098	1.7963413098960042e-05	0.0002155835787592686	0.0	4.980682045131095	0.0	6.9553435767054	0.0	0.0	0.0	0.011936637315124725	0.0	11.612571341386191	24.55126908491731	14.249346671657625	0.0	0.0
BL107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001268935334893196	0.0	0.0	0.0	0.0	0.0	0.0006055884494800633	0.0004760695325392405	0.0006563458628757911	0.0	0.0	0.0	0.0	0.0	0.00029141756311685125	0.0017730089575818035	0.0	0.0	0.0	0.0	0.0	0.0
CB0101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005070837015281186	0.006849395015258105	0.0021127745146432898	0.0039609958568398145	0.0071368947807335424	0.0	0.0	0.0	0.00016776316143225293	0.007316927908812887	0.05847155602749052	0.06462404130367272	0.03761744115504774	0.02057627383968757	0.032742314933941766	0.015883267179814173	0.018734657230235777	0.017029064058678683	0.02246417404418803	0.05514536167925796	0.016636198526580295	0.013570724369972774	0.0	0.0	0.01555363009739046	0.028089691643622586
CC9311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CC9605	0.7638344893104579	0.11126065946783156	0.3325437734436272	0.32751575062234856	5.822942822971983	1.2117595772176237	3.9081069146489327	1.2108453778401866	1.0668830291653129	1.107203500777671	3.0613504965984784	12.835858642959003	0.6181245001980363	0.9432924789352686	1.9719649433516087	5.730476819837654	2.4257938025897285	3.836533895834771	3.4949393145626235	6.941775145319049	3.319748631310639	2.6738852949118574	3.3148970186938826	2.3449170527069185	6.7044288648039165	3.8841375736917088	3.4866792411620713	5.574746775441332	2.6601783882152423	4.036215456106201	2.193032262040237	2.7180320435467267	2.037514412029758	3.364819095151876	1.3218123083528324	1.000451127910091	2.177998282752366	5.434299047472717	1.604241757216788	5.910389524360427	2.1781784815203085	1.372537530111339	1.0222197961506618	1.2948897043979306
CC9616	0.0	0.0	0.0	0.0	0.005922744800698316	0.0	5.366518330998592e-05	0.0	0.0	0.0	0.0	0.00029855982264006257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CC9902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCMP1375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017576544443760297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GEYO	0.0	0.0	0.002617750967463219	0.0004957344563546709	0.0007875437232622396	0.0	0.00021160438068151187	0.0	0.0	0.0	0.0005264512212923097	0.0015145130091386335	0.0002005122155651423	0.00077901128855734	0.00014419814651280447	0.00044283336118429293	0.00048378904776781134	0.0	0.0014658722823017636	0.0020955659635233594	0.0014223568653067755	0.0017218518857626884	0.0018464488285299904	0.00035153630984186647	3.2428672920564684e-05	0.0	0.0007696256103819504	0.0017030793881399203	0.002162118954221577	0.0034693609924194785	0.0025529251492607758	0.000964165121653663	0.0030042702595951746	0.0013421519790807186	0.00044709957853674283	0.0012909603666902904	0.0005392515852576422	0.004169800840284469	0.0009556382506497078	0.00047781634347438163	0.0	0.0	0.0006689428808641343	0.0016706507152193556
GP2	77.17229131090036	40.69292298191719	26.955264611293234	30.952602822448725	72.57686450847085	67.62004087960565	87.49258011774766	69.1062096154653	62.23191037056221	44.39112182232813	62.75947581428654	51.998007091797135	0.0	0.0	0.031966898433041874	7.461740983549745	0.24838592019006972	9.558508753443785	0.04968291684699354	0.2317476750633261	0.05820621935847909	0.051346121409413165	0.0047524424759844315	1.4990666961261465	7.307194199835365	9.42366657767535	1.9034965503936536	0.35427741855137246	0.0	0.0	0.0	1.5214066126987238	0.0	2.2102238068060505	0.0	0.0	0.0	0.00108594717550615	0.0	3.6357864754626115	7.851216348989594	4.3589866579805765	0.0	0.0
