,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated
badb6766afc010cf85b7c226e4f52068,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,unclassified_Telonemia_XX,,,badb6766afc010cf85b7c226e4f52068,
d2cf348b1996520342ee180358defa75,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,unclassified_Cryptophyceae,,,,d2cf348b1996520342ee180358defa75,
8cfa3c7974dfd9aef152d254d3e645b7,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,unclassified_Cryptophyceae,,,,8cfa3c7974dfd9aef152d254d3e645b7,
b327e7d2792415332d628d882f93a743,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,unclassified_Cryptophyceae,,,,b327e7d2792415332d628d882f93a743,
defddb977be8ffd12521f203dd93f0b5,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,unclassified_Cryptophyceae,,,,defddb977be8ffd12521f203dd93f0b5,
4b1493f3d0600576314611a6cf0ed580,Eukaryota,Opisthokonta,Fungi,unclassified_Fungi,,,,,4b1493f3d0600576314611a6cf0ed580,
6125d80057666d6e7f8c240874a55183,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,unclassified_Ichthyosphonida,,,6125d80057666d6e7f8c240874a55183,
de0de902266e2bf28d116df88add12e5,Eukaryota,Opisthokonta,Metazoa,unclassified_Metazoa,,,,,de0de902266e2bf28d116df88add12e5,
70f2bd19b90348f50a23b1d7da119254,unclassified_Root,,,,,,,,70f2bd19b90348f50a23b1d7da119254,
5ff0d4f095afa7e96cbe009e74afc129,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,unclassified_Crustacea,,,5ff0d4f095afa7e96cbe009e74afc129,
b3218956698945a1733d7e09a7f659cf,unclassified_Root,,,,,,,,b3218956698945a1733d7e09a7f659cf,
b12539d6530232e6218c5950a64fed90,unclassified_Root,,,,,,,,b12539d6530232e6218c5950a64fed90,
617ed3a42aaef3c651a1f1fa9fd8e029,Eukaryota,unclassified_Eukaryota,,,,,,,617ed3a42aaef3c651a1f1fa9fd8e029,
2efc02e3dcc1bc0c93da2c1e0781cf83,unclassified_Root,,,,,,,,2efc02e3dcc1bc0c93da2c1e0781cf83,
3552edba5363b4e7ec0ba746a051b1c3,unclassified_Root,,,,,,,,3552edba5363b4e7ec0ba746a051b1c3,
bac8ad8f55ebc7b8d18335f7ac35261b,unclassified_Root,,,,,,,,bac8ad8f55ebc7b8d18335f7ac35261b,
7a16eaf5c886f0cc4564a796fc00158e,unclassified_Root,,,,,,,,7a16eaf5c886f0cc4564a796fc00158e,
2f7ff4f905af99bda930ddfc172e61d8,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,unclassified_Strombidiida,,,2f7ff4f905af99bda930ddfc172e61d8,
