"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Supergroup","Phylum","Class","Order","Family","Genus","Species","ASV","Curated"
"a4c9be481e6bba68cfcc839c1b1019b2",34.0723583913876,-2.59494954693643,0.782952831302183,-3.31431146704022,0.000918691101440247,0.00411223635882777,"Eukaryota_plas","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","unclassified_Pelagomonadaceae","","a4c9be481e6bba68cfcc839c1b1019b2","Stramenopiles:Other"
"edf69e9168c8dd37c91686aeeab2d0a4",81.6375545804777,4.8994187896845,0.535380914872034,9.15127650909175,5.62647113822011e-20,2.64444143496345e-18,"Eukaryota_plas","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Aureococcus","Aureococcus_anophagefferens","edf69e9168c8dd37c91686aeeab2d0a4","Stramenopiles:Aureococcus"
"30346abbc7e6c49a65bfda9e13db3a6d",13.4829417508774,-3.50772506512151,0.745055108304257,-4.70800753665736,2.50149854826313e-06,1.56760575691156e-05,"Eukaryota_plas","Stramenopiles","Ochrophyta","Pelagophyceae","Sarcinochrysidales","Sarcinochrysidaceae","Sarcinochrysidaceae_X","Sarcinochrysidaceae_X_sp.","30346abbc7e6c49a65bfda9e13db3a6d","Stramenopiles:Other"
"2533d90c79f13829fa5d0dde39a7931e",156.169237762979,2.23550861115664,0.455569621640472,4.907062510241,9.24505744490054e-07,6.20739571300465e-06,"Eukaryota_plas","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","Chaetoceros","unclassified_Chaetoceros","2533d90c79f13829fa5d0dde39a7931e","Stramenopiles:Chaetoceros"
"85125408ea648cf8e6317b860cd2f1ac",569.407640200475,2.11873314962889,0.335973312225438,6.30625431405463,2.85869178718488e-10,3.35896284994224e-09,"Eukaryota_plas","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Polar-centric-Mediophyceae","unclassified_Polar-centric-Mediophyceae","","85125408ea648cf8e6317b860cd2f1ac","Stramenopiles:Bacillariophyta"
"c357a7d4eade7ed830cc23b54139c249",29.2604397501881,4.93943063798077,1.10359809553108,4.47575132467386,7.61430696052205e-06,4.47340533930671e-05,"Eukaryota_plas","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","unclassified_Raphid-pennate","","c357a7d4eade7ed830cc23b54139c249","Stramenopiles:Bacillariophyta"
"9446ba4b3a6c328f429e7b601b85505f",68.6560490526281,-3.38022621859121,0.5538008498823,-6.10368550230578,1.03650142452887e-09,9.74311339057142e-09,"Eukaryota_plas","Hacrobia","Haptophyta","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","unclassified_Phaeocystis","9446ba4b3a6c328f429e7b601b85505f","Hacrobia:Prymnesiophyceae"
"03296caf3fa6eb808ac51270bcfb0b28",297.332014075542,-1.51938884419699,0.285948376877915,-5.31350749665451,1.07535009799382e-07,8.42357576761826e-07,"Eukaryota_plas","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Prymnesiaceae","unclassified_Prymnesiaceae","","03296caf3fa6eb808ac51270bcfb0b28","Hacrobia:Prymnesiophyceae"
"2fef69a9baf521fdc9b24730a466d4ff",7.04055126729943,-5.57880151867767,1.40331994568497,-3.97543093136514,7.02519310045376e-05,0.000366871195245919,"Eukaryota_plas","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulinaceae_X","Chrysochromulinaceae_X_sp.","2fef69a9baf521fdc9b24730a466d4ff","Hacrobia:Prymnesiophyceae"
"e06f50344798d12e83c6e163975ad4cd",51.0300698439544,-4.75893540475973,0.772644955612777,-6.15927842431259,7.30771485022136e-10,7.63250217689786e-09,"Eukaryota_plas","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiophyceae_X","Braarudosphaeraceae","Braarudosphaera","Braarudosphaera_bigelowii","e06f50344798d12e83c6e163975ad4cd","Hacrobia:Prymnesiophyceae"
