bins,clade,HOT_224_25M,HOT_225_25M,HOT_226_25M,HOT_227_25M,HOT_229_25M,HOT_231_25M,HOT_232_25M,HOT_233_25M,HOT_234_25M,HOT_236_25M,HOT_237_25M,HOT_238_25M,KFe386HP,KFe387AR,KFe389R8,KFe393NT,KFe395NB,KFe416ST,KMa156HP,KMa157AR,KMa158CB,KMa159R8,KMa160SB,KMa161R2,KMa162ST,KMa163NT,KMa164NR,KMa165NB,KOc290HP,KOc291AR,KOc293R8,KOc297NT,KOc299NB,KOc321ST,KSe054HP,KSe055AR,KSe056CB,KSe057R8,KSe058SB,KSe059R2,KSe060ST,KSe061NT,KSe062NR,KSe063NB
WH7803,Other_SYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245018,0.002799937,0.000637,0.002567691,0.001906923,0,0,0,0,0.002214482,0.085751253,0.068298026,0.06040166,0.024229152,0.035750783,0.008432765,0,0.032018999,0.000261894,0.008944087,0.000571098,0,0,0,8.19E-05,0.000328645
WH7805,Other_SYN,0,0,0,0,0.000243608,0,0,0,0,0,0,0.001564418,0,0,0.000552685,0,0.0011952,0,0.007176511,0.011233326,0.005351755,0.006250819,0.01183238,0.00115942,0,0,0.002583763,0.011342962,0.059063505,0.046534586,0.039491295,0.011322776,0.013895942,0.005363775,0.010099492,0.019856122,0.013355461,0.038679988,0.012816359,0.001151807,0,0,0.004507332,0.009971607
RS9917,Other_SYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021893,0,0.002711482,0.005029973,0.001721269,0.00197269,0.002624901,0,0,0,0.000727961,0.004373957,0.005764123,0.010018187,0.006496726,0.003499011,0.005077163,0.00395389,0.00267667,0.004483035,0.004810269,0.013965099,0.004590566,0.000772057,0,0,0.001946388,0.003722582
KORDI49,Other_SYN,0,0,0,0,0.000496556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006504329,0.006149218,0.001614866,0.001075775,0.002016176,0,0,0,9.74E-05,0.009422191,0.019942561,0.024547451,0.013395158,0.001884679,0.010162322,0.000836019,0.004088036,0.00266893,0.007849093,0.0340667,0.003764792,0,0,0,0.000465569,0.002723866
KORDI52,Other_SYN,0.001502842,0,0.000510795,0.000639077,0.324203028,0.015862668,0.042138515,0.002489485,0,0.002424276,0.058078915,0.241090932,0.001282035,0.00717535,0.025825781,0.05890808,0.035045412,0.021998843,0.186543283,0.349216513,0.162856067,0.161072263,0.237678012,0.043329602,0.092267044,0.031639933,0.09966318,0.314333226,0.247885336,0.370034126,0.204142181,0.128018586,0.187538126,0.131144216,0.098259482,0.101608194,0.193026631,0.540830889,0.131563445,0.092412832,0.018187369,0.0027594,0.056636489,0.103696751
UW106,Other_SYN,0,0,0,0.000131905,0.011312743,0.000169707,0.000570268,0,0,0,3.22E-05,0.005882477,3.06E-05,0,2.98E-05,0,0,0,0.007587713,0.018055386,0.00657393,0.00520344,0.010976404,0,0.000704911,5.71E-05,0.002696549,0.015239284,0.0083458,0.018614975,0.005128539,0.003392549,0.006455349,0.005288634,0.001931627,0.001112991,0.004395627,0.037903276,0.003411545,0.003682474,0,0,0.000883953,0.002838192
UW69,Other_SYN,0.000336296,0,0.00337392,0.001142059,0.032957868,0.001232243,0.002489092,0.000155084,0,0.000482952,0.004061832,0.020723213,0.001905679,0.003878118,0.003546757,0.002795886,0.006998321,0.001285343,0.030043449,0.06263423,0.02767968,0.025537078,0.034243089,0.00610577,0.006925976,0.000568079,0.013159841,0.056058743,0.040512401,0.064146022,0.035480105,0.021625665,0.041413371,0.026673903,0.014520353,0.014696599,0.032537301,0.107590668,0.01699752,0.017124588,0.003552659,0.001630078,0.009591195,0.02147308
UW105,Other_SYN,0.000339116,0,0.003509962,0.000748912,0.000837639,0.000702293,0.001006069,0,0.000162415,0.000306783,0.000683495,0.001297062,0.000255653,0.000706053,0.001125624,1.50E-06,0.000658682,0,0.002852784,0.002752702,0.00266706,0.001962511,0.00280719,0.000337612,0,0,0.001091036,0.004734566,0.006524857,0.010765673,0.005487512,0.003997959,0.005209302,0.004212731,0.001327139,0.003315967,0.003692543,0.010600403,0.002359316,0.000736882,0,0,0.00213846,0.005681507
UW140,Other_SYN,0.000510076,0,0.002912608,0.000479767,0.001161925,0.000346704,0.000454633,5.91E-05,6.21E-05,0.000167808,0.000488638,0.000731848,0.000604699,0.000698582,0.001205701,0,0.000702279,0,0.002041027,0.003493372,0.001796011,0.002619726,0.004757872,0.000141934,0,0,0.001531707,0.004428752,0.009508734,0.00917028,0.00668627,0.003243524,0.00505912,0.002709686,0.001572365,0.003467862,0.003360588,0.009899568,0.002187343,0.001160608,0.000615607,0,0.001983383,0.007131126
RCC307,RCC307,0,0,0,0,0,0,0,0,0,0,0.008822129,0.000627375,0.001998087,0.003326668,0.292691185,0.00224342,0.242891213,0.000158191,2.531282953,2.829449375,1.128421871,1.645664428,3.569576319,0.265617543,0,0,0.441140864,2.574699237,1.529517774,3.597738749,1.302058961,0.162636235,0.895824408,0.190302068,0.562509277,0.334982422,1.792061433,3.77908691,1.744822739,0,0,0,0.197793961,0.299529663
